datetime,symb,company,finviz_date,sector,industry,market_cap,income,insider_own,shs_outstanding,shs_float,short_float,short_ratio,last,volume,change_pct
2019-12-19,IGT,International Game ,2020-02-27,Services,Gaming Activities,2.43B,32.40M,,210.95M,98.27M,7.67%,5.41,11.69,539330,22.38
2019-07-26,MMSI,Merit Medical Syst ,2020-02-27,Healthcare,Medical Instruments & Supplies,2.14B,22.00M,2.40%,56.76M,53.50M,10.56%,7.02,48.0,88710,12.47
2019-07-26,MHK,Mohawk Industries ,2020-02-27,Consumer Goods,Home Furnishings & Fixtures,8.96B,744.20M,0.70%,71.18M,57.39M,7.08%,6.25,136.0,68150,13.02
2019-06-04,BOX,Box Inc. Class A ,2020-02-27,Technology,Application Software,2.25B,-132.60M,0.20%,149.91M,144.90M,5.58%,4.86,15.59,2140000,13.05
2019-03-05,USAT,Usa Technologies I ,2020-02-27,Technology,Technical & System Software,510.01M,-,9.34%,60.00M,36.96M,23.99%,51.82,3.64,307460,11.0
2019-08-10,CTST,Canntrust Holdings ,2019-08-01,Healthcare,Drugs - Generic,-,-,-,-,115.29M,6.69%,1.73,2.75,802480,13.25
2019-06-12,PLAY,"Dave & Buster""s En ",2019-06-12,Services,Restaurants,1.46B,117.20M,0.90%,36.60M,34.49M,19.37%,6.72,42.6,1140000,17.33
2019-06-04,VISL,Vislink Technologi ,2019-07-10,Technology,Communication Equipment,7.95M,-14.60M,28.10%,1.94M,1.70M,3.11%,0.24,2.61,107920,12.12
2019-05-03,FND,Floor & Decor Hold ,2019-07-03,Services,Home Improvement Stores,3.95B,113.90M,0.30%,94.23M,85.85M,11.80%,9.13,42.82,180080,11.33
2019-05-03,SRCL,Stericycle Inc. ,2019-05-02,Industrial Goods,Waste Management,5.17B,-244.50M,0.20%,90.70M,89.30M,11.17%,9.23,49.0,70150,14.41
2019-04-03,ADXS,Advaxis Inc. ,2019-07-03,Healthcare,Biotechnology,15.28M,-29.20M,0.20%,8.04M,7.72M,4.22%,1.20,4.9,256450,16.95
2019-05-03,ANET,Arista Networks In ,2019-05-17,Technology,Diversified Computer Systems,16.80B,313.30M,0.10%,75.38M,53.34M,3.22%,1.95,263.99,377110,15.07
2019-03-15,ATOS,Atossa Genetics In ,2020-02-27,Healthcare,Biotechnology,11.88M,-16.70M,0.57%,9.28M,9.08M,2.62%,3.03,6.23,2840000,11.88
2019-03-15,AGTC,Applied Genetic Te ,2019-03-15,Healthcare,Biotechnology,52.75M,-14.80M,0.90%,17.82M,14.98M,0.61%,0.61,3.85,700000,11.15
2019-03-05,AFH,Atlas Financial Ho ,2020-01-11,Financial,Property & Casualty Insurance,6.97M,-,10.05%,11.94M,10.17M,0.29%,0.22,4.0,64690,41.17
2019-03-15,HEAR,Turtle Beach Corpo ,2019-01-19,Technology,Communication Equipment,242.01M,47.20M,14.10%,14.44M,11.01M,58.11%,6.41,14.26,608810,12.25
2019-08-10,ETM,Entercom Communica ,2020-02-27,Services,Broadcasting - Radio,544.32M,-318.40M,1.30%,143.62M,117.90M,10.33%,14.93,2.97,65970,16.1
2019-12-19,PSTG,Pure Storage Inc. ,2020-02-27,Technology,Data Storage Devices,4.27B,-222.10M,4.30%,268.97M,234.65M,7.87%,6.18,13.01,187990,23.7
2019-12-19,DXCM,Dexcom Inc. ,2020-02-27,Healthcare,Medical Laboratories & Research,26.47B,101.10M,0.80%,95.14M,91.20M,5.09%,5.12,163.68,91960,25.14
2019-12-19,GMED,Globus Medical Inc ,2020-02-27,Healthcare,Medical Appliances & Equipment,5.00B,146.40M,0.90%,101.39M,75.82M,2.34%,3.67,44.34,55670,25.27
2019-12-19,NERV,Minerva Neuroscien ,2020-02-27,Healthcare,Biotechnology,289.08M,-55.50M,0.80%,39.33M,37.51M,8.39%,7.97,5.0,577440,27.43
2019-12-19,RIG,Transocean Ltd (sw ,2020-02-27,Basic Materials,Oil & Gas Drilling & Exploration,2.17B,-1255.00M,0.30%,633.20M,571.79M,13.50%,4.54,4.23,1170000,29.97
2019-12-19,VAC,Marriott Vacations ,2020-02-27,Services,Resorts & Casinos,4.13B,131.00M,1.90%,42.88M,37.14M,4.71%,6.44,88.97,37840,30.45
