datetime,symb,company,finviz_date,sector,industry,market_cap,income,insider_own,shs_outstanding,shs_float,short_float,short_ratio,last,volume,change_pct
2020-01-17,RBZ,Reebonz Holding Li ,2020-02-27,Services,"Specialty Retail, Other",5.42M,-,11.98%,6.22M,3.84M,12.87%,1.23,2.04,969070,10.87
2020-01-17,XPO,Xpo Logistics Inc. ,2020-02-27,Services,Air Delivery & Freight Services,7.72B,379.00M,0.20%,92.92M,91.19M,9.94%,9.67,96.32,379910,16.3
2020-01-17,SIG,Signet Jewelers Li ,2020-02-27,Services,Jewelry Stores,1.20B,-221.80M,0.50%,52.99M,51.54M,23.89%,4.83,28.33,705600,31.83
2020-01-17,RBZ,Reebonz Holding Li ,2020-02-27,Services,"Specialty Retail, Other",5.42M,-,11.98%,6.22M,3.84M,12.87%,1.23,2.04,969070,10.87
2020-01-17,XPO,Xpo Logistics Inc. ,2020-02-27,Services,Air Delivery & Freight Services,7.72B,379.00M,0.20%,92.92M,91.19M,9.94%,9.67,96.32,379910,16.3
2020-01-17,SIG,Signet Jewelers Li ,2020-02-27,Services,Jewelry Stores,1.20B,-221.80M,0.50%,52.99M,51.54M,23.89%,4.83,28.33,705600,31.83
2020-01-17,CETX,Cemtrex Inc. ,2020-01-18,Industrial Goods,Industrial Equipment & Components,8.16M,-15.90M,29.85%,4.04M,2.79M,1.85%,0.03,3.23,1530000,77.47
2020-01-17,CETX,Cemtrex Inc. ,2020-01-18,Industrial Goods,Industrial Equipment & Components,8.16M,-15.90M,29.85%,4.04M,2.79M,1.85%,0.03,3.23,1530000,77.47
2020-01-07,PACD,Pacific Drilling S ,2020-02-27,Basic Materials,Oil & Gas Drilling & Exploration,90.86M,-2086.10M,1.30%,77.00M,70.19M,3.49%,5.97,5.25,59990,10.53
2020-01-07,MTL,Mechel Pao America ,2020-02-27,Basic Materials,Steel & Iron,896.27M,215.20M,,292.90M,275.45M,0.04%,0.62,2.25,28830,11.94
2020-01-07,PACD,Pacific Drilling S ,2020-02-27,Basic Materials,Oil & Gas Drilling & Exploration,90.86M,-2086.10M,1.30%,77.00M,70.19M,3.49%,5.97,5.25,59990,10.53
2020-01-07,LIFE,atyr Pharma Inc. ,2020-02-27,Healthcare,Biotechnology,31.74M,-24.00M,0.10%,8.31M,7.60M,1.96%,0.44,7.25,888470,70.19
2020-01-07,MTL,Mechel Pao America ,2020-02-27,Basic Materials,Steel & Iron,896.27M,215.20M,,292.90M,275.45M,0.04%,0.62,2.25,28830,11.94
2020-01-07,PLX,Protalix Biotherap ,2019-12-20,Healthcare,Biotechnology,39.26M,-,6.23%,148.38M,145.04M,1.82%,2.12,4.24,37440,10.13
2020-01-07,LIFE,atyr Pharma Inc. ,2020-02-27,Healthcare,Biotechnology,31.74M,-24.00M,0.10%,8.31M,7.60M,1.96%,0.44,7.25,888470,70.19
2020-01-07,FCEL,Fuelcell Energy In ,2019-12-27,Industrial Goods,Industrial Electrical Equipment,216.27M,-82.20M,0.06%,170.29M,170.29M,12.15%,0.94,2.3,3180000,11.65
2020-01-07,CLUB,Town Sports Intern ,2020-01-03,Services,Sporting Activities,51.28M,-12.90M,0.20%,28.81M,24.86M,6.76%,15.79,2.27,32870,27.53
2020-01-08,HEPA,Contravir Pharmace ,2020-02-27,Healthcare,Biotechnology,17.34M,-12.00M,2.66%,3.94M,3.66M,20.48%,0.75,5.88,81270,12.0
2020-01-07,PLX,Protalix Biotherap ,2019-12-20,Healthcare,Biotechnology,39.26M,-,6.23%,148.38M,145.04M,1.82%,2.12,4.24,37440,10.13
2020-01-08,CANF,Can-fite Biopharma ,2020-02-27,Healthcare,Biotechnology,9.67M,-,2.47%,7.44M,2.71M,4.06%,0.16,3.9,246090,12.72
2020-01-08,HIMX,Himax Technologies ,2020-02-27,Technology,Semiconductor - Specialized,772.91M,-13.60M,12.30%,172.14M,148.70M,2.87%,2.56,3.7,26790,13.85
2020-01-07,FCEL,Fuelcell Energy In ,2019-12-27,Industrial Goods,Industrial Electrical Equipment,216.27M,-82.20M,0.06%,170.29M,170.29M,12.15%,0.94,2.3,3180000,11.65
2020-01-08,APA,Apache Corporation ,2020-02-27,Basic Materials,Independent Oil & Gas,9.24B,-694.00M,0.20%,378.42M,374.19M,5.55%,3.30,29.93,1780000,16.73
2020-01-08,APOP,Cellect Biotechnol ,2020-02-27,Healthcare,Biotechnology,6.98M,-,,3.24M,1.47M,0.31%,0.01,6.29,2560000,160.89
2020-01-07,CLUB,Town Sports Intern ,2020-01-03,Services,Sporting Activities,51.28M,-12.90M,0.20%,28.81M,24.86M,6.76%,15.79,2.27,32870,27.53
2020-01-08,HEPA,Contravir Pharmace ,2020-02-27,Healthcare,Biotechnology,17.34M,-12.00M,2.66%,3.94M,3.66M,20.48%,0.75,5.88,81270,12.0
2020-01-08,CANF,Can-fite Biopharma ,2020-02-27,Healthcare,Biotechnology,9.67M,-,2.47%,7.44M,2.71M,4.06%,0.16,3.9,246090,12.72
2020-01-08,HIMX,Himax Technologies ,2020-02-27,Technology,Semiconductor - Specialized,772.91M,-13.60M,12.30%,172.14M,148.70M,2.87%,2.56,3.7,26790,13.85
2020-01-08,APA,Apache Corporation ,2020-02-27,Basic Materials,Independent Oil & Gas,9.24B,-694.00M,0.20%,378.42M,374.19M,5.55%,3.30,29.93,1780000,16.73
2020-01-08,APOP,Cellect Biotechnol ,2020-02-27,Healthcare,Biotechnology,6.98M,-,,3.24M,1.47M,0.31%,0.01,6.29,2560000,160.89
2020-01-08,XERS,Xeris Pharmaceutic ,2020-01-03,Healthcare,Biotechnology,164.74M,-112.90M,2.40%,27.14M,26.44M,8.32%,14.10,6.62,116060,14.34
2020-01-09,MTL,Mechel Pao America ,2020-02-27,Basic Materials,Steel & Iron,896.27M,215.20M,,292.90M,275.45M,0.04%,0.62,3.21,306170,18.89
2020-01-09,CEI,Camber Energy Inc. ,2020-02-27,Basic Materials,Oil & Gas Drilling & Exploration,5.90M,-13.00M,9.99%,5.00M,4.50M,15.03%,0.27,3.7,833830,19.35
2020-01-09,APLT,Applied Therapeuti ,2020-02-27,Healthcare,Biotechnology,912.81M,-31.10M,2.10%,21.89M,16.60M,1.91%,1.31,31.5,102700,20.41
2020-01-08,XERS,Xeris Pharmaceutic ,2020-01-03,Healthcare,Biotechnology,164.74M,-112.90M,2.40%,27.14M,26.44M,8.32%,14.10,6.62,116060,14.34
2020-01-10,CHS,"Chico""s Fas Inc. ",2020-02-27,Services,Apparel Stores,476.24M,-24.60M,0.20%,121.80M,109.54M,14.13%,6.39,4.35,35370,15.69
2020-01-10,ELTK,Eltek Ltd. ,2020-02-27,Technology,Printed Circuit Boards,16.96M,0.80M,25.30%,4.37M,1.29M,1.62%,0.37,4.1,182800,16.15
2020-01-10,DBVT,Dbv Technologies S ,2020-02-27,Healthcare,Biotechnology,1.08B,-,-,108.98M,26.48M,13.23%,7.70,13.36,200920,18.86
2020-01-13,SNX,Synnex Corporation ,2020-02-27,Technology,Information Technology Services,7.05B,496.10M,0.80%,52.70M,41.36M,2.99%,3.48,141.93,82440,10.16
2020-01-09,PIXY,Shiftpixy Inc. ,2020-01-25,Services,Staffing & Outsourcing Services,8.35M,-18.70M,,0.85M,0.31M,6.39%,0.41,24.84,85100,207.84
2020-01-13,MRNA,Moderna Inc. ,2020-02-27,Healthcare,Biotechnology,10.64B,-535.00M,2.90%,364.91M,279.07M,6.72%,3.25,20.95,50100,13.86
2020-01-13,ACRS,Aclaris Therapeuti ,2020-02-27,Healthcare,Biotechnology,47.08M,-132.60M,2.90%,38.28M,37.35M,9.14%,4.67,2.27,1320000,22.04
2020-01-10,PECK,The Peck Company I ,2019-11-25,Conglomerates,Conglomerates,13.07M,-0.40M,27.50%,5.88M,1.70M,0.08%,0.09,3.43,115590,40.57
2020-01-13,SNX,Synnex Corporation ,2020-02-27,Technology,Information Technology Services,7.05B,496.10M,0.80%,52.70M,41.36M,2.99%,3.48,141.93,82440,10.16
2020-01-10,AGTC,Applied Genetic Te ,2019-12-20,Healthcare,Biotechnology,52.75M,-14.80M,0.90%,17.82M,14.98M,0.61%,0.61,6.68,3010000,60.6
2020-01-13,TRIL,Trillium Therapeut ,2020-01-03,Healthcare,Biotechnology,35.33M,-,0.20%,28.04M,21.61M,0.77%,0.17,3.19,1350000,10.38
2020-01-13,MRNA,Moderna Inc. ,2020-02-27,Healthcare,Biotechnology,10.64B,-535.00M,2.90%,364.91M,279.07M,6.72%,3.25,20.95,50100,13.86
2020-01-13,AKTX,Akari Therapeutics ,2020-01-11,Healthcare,Biotechnology,44.84M,-12.70M,,20.76M,10.35M,0.66%,0.22,2.1,56490,21.39
2020-01-13,ACRS,Aclaris Therapeuti ,2020-02-27,Healthcare,Biotechnology,47.08M,-132.60M,2.90%,38.28M,37.35M,9.14%,4.67,2.27,1320000,22.04
2020-01-13,SRNE,Sorrento Therapeut ,2020-01-11,Healthcare,Biotechnology,685.34M,-279.00M,,143.98M,110.94M,19.98%,4.30,5.08,7560000,48.97
2020-01-13,TRIL,Trillium Therapeut ,2020-01-03,Healthcare,Biotechnology,35.33M,-,0.20%,28.04M,21.61M,0.77%,0.17,3.19,1350000,10.38
2020-01-13,SNX,Synnex Corporation ,2020-02-27,Technology,Information Technology Services,7.05B,496.10M,0.80%,52.70M,41.36M,2.99%,3.48,141.93,82440,10.16
2020-01-13,MRNA,Moderna Inc. ,2020-02-27,Healthcare,Biotechnology,10.64B,-535.00M,2.90%,364.91M,279.07M,6.72%,3.25,20.95,50100,13.86
2020-01-13,AKTX,Akari Therapeutics ,2020-01-11,Healthcare,Biotechnology,44.84M,-12.70M,,20.76M,10.35M,0.66%,0.22,2.1,56490,21.39
2020-01-13,ACRS,Aclaris Therapeuti ,2020-02-27,Healthcare,Biotechnology,47.08M,-132.60M,2.90%,38.28M,37.35M,9.14%,4.67,2.27,1320000,22.04
2020-01-13,SRNE,Sorrento Therapeut ,2020-01-11,Healthcare,Biotechnology,685.34M,-279.00M,,143.98M,110.94M,19.98%,4.30,5.08,7560000,48.97
2020-01-13,SNX,Synnex Corporation ,2020-02-27,Technology,Information Technology Services,7.05B,496.10M,0.80%,52.70M,41.36M,2.99%,3.48,141.93,82440,10.16
2020-01-13,MRNA,Moderna Inc. ,2020-02-27,Healthcare,Biotechnology,10.64B,-535.00M,2.90%,364.91M,279.07M,6.72%,3.25,20.95,50100,13.86
2020-01-13,TRIL,Trillium Therapeut ,2020-01-03,Healthcare,Biotechnology,35.33M,-,0.20%,28.04M,21.61M,0.77%,0.17,3.19,1350000,10.38
2020-01-13,AKTX,Akari Therapeutics ,2020-01-11,Healthcare,Biotechnology,44.84M,-12.70M,,20.76M,10.35M,0.66%,0.22,2.1,56490,21.39
