datetime,symb,company,finviz_date,sector,industry,market_cap,income,insider_own,shs_outstanding,shs_float,short_float,short_ratio,last,volume,change_pct
2020-01-17,QD,Qudian Inc. Americ ,2020-02-27,Technology,Information Technology Services,595.17M,555.90M,1.60%,246.96M,151.63M,15.59%,3.17,3.64,2510000,17.08
2020-01-17,YTEN,Yield10 Bioscience ,2020-02-08,Basic Materials,Specialty Chemicals,8.85M,-8.00M,0.20%,1.02M,0.95M,3.59%,0.17,6.25,30580,11.12
2020-01-17,YTEN,Yield10 Bioscience ,2020-02-08,Basic Materials,Specialty Chemicals,8.85M,-8.00M,0.20%,1.02M,0.95M,3.59%,0.17,6.25,30580,11.12
2020-01-17,OPRA,Opera Limited ,2020-01-25,Technology,Internet Information Providers,1.10B,47.30M,,135.72M,54.86M,2.47%,3.07,7.69,296280,14.75
2020-01-17,QD,Qudian Inc. Americ ,2020-02-27,Technology,Information Technology Services,595.17M,555.90M,1.60%,246.96M,151.63M,15.59%,3.17,3.64,2510000,17.08
2020-01-17,OPRA,Opera Limited ,2020-01-25,Technology,Internet Information Providers,1.10B,47.30M,,135.72M,54.86M,2.47%,3.07,7.69,296280,14.75
2020-01-14,GME,Gamestop Corporati ,2020-02-27,Services,Electronics Stores,228.99M,-780.50M,0.50%,67.55M,59.52M,-,-,4.78,225590,11.97
2020-01-14,ABMD,Abiomed Inc. ,2020-02-27,Healthcare,Medical Appliances & Equipment,7.00B,245.20M,0.70%,45.42M,44.14M,9.63%,4.95,166.15,97660,12.12
2020-01-14,ABMD,Abiomed Inc. ,2020-02-27,Healthcare,Medical Appliances & Equipment,7.00B,245.20M,0.70%,45.42M,44.14M,9.63%,4.95,166.15,97660,12.12
2020-01-13,SPWH,"Sportsman""s Wareho ",2020-02-27,Consumer Goods,Sporting Goods,261.18M,21.20M,1.20%,43.17M,41.63M,14.09%,5.03,6.9,27420,13.53
2020-01-13,SPWH,"Sportsman""s Wareho ",2020-02-27,Consumer Goods,Sporting Goods,261.18M,21.20M,1.20%,43.17M,41.63M,14.09%,5.03,6.9,27420,13.53
2020-01-13,SPWH,"Sportsman""s Wareho ",2020-02-27,Consumer Goods,Sporting Goods,261.18M,21.20M,1.20%,43.17M,41.63M,14.09%,5.03,6.9,27420,13.53
2020-01-13,SPWH,"Sportsman""s Wareho ",2020-02-27,Consumer Goods,Sporting Goods,261.18M,21.20M,1.20%,43.17M,41.63M,14.09%,5.03,6.9,27420,13.53
2020-01-13,SPWH,"Sportsman""s Wareho ",2020-02-27,Consumer Goods,Sporting Goods,261.18M,21.20M,1.20%,43.17M,41.63M,14.09%,5.03,6.9,27420,13.53
2020-01-10,SLS,Sellas Life Scienc ,2020-02-27,Healthcare,Biotechnology,15.79M,-33.90M,0.17%,5.98M,5.73M,9.99%,0.86,3.5,171300,10.71
2020-01-08,CTIB,Cti Industries Cor ,2020-02-27,Consumer Goods,Rubber & Plastics,5.44M,-8.00M,,3.91M,1.88M,2.59%,0.10,2.13,84460,18.08
